#{"t_start": 1764683795.068128, "env_id": "None"}
r,l,t
-65.934719,450,5639.226172
63.230563,43,5647.497514
199.705455,450,5687.248131
247.515563,428,5717.816749
113.385563,144,5731.839547
61.930563,55,5740.781934
70.580563,57,5752.336723
80.705563,68,5763.164914
34.748842,450,5801.596862
59.180563,61,5812.685941
51.320563,93,5825.946284
200.113354,450,5863.899693
-68.829719,450,5904.667453
183.860281,450,5942.101709
182.985455,450,5977.476794
199.110563,329,6003.706889
122.660563,171,6022.480804
80.645563,84,6034.214687
173.890455,450,6075.03561
-36.791158,450,6115.347002
44.950563,165,6130.127009
220.435563,396,6159.370452
151.243354,450,6192.700376
74.050563,79,6201.938303
-84.096158,450,6234.395999
115.720563,149,6247.679699
48.530563,121,6261.620416
116.680563,157,6278.243558
103.545563,144,6292.163162
-92.669719,450,6323.508012
200.260563,355,6351.545829
-64.956195,450,6388.323231
85.745563,108,6400.749079
92.020563,105,6412.892819
149.180563,221,6432.789703
191.315455,450,6465.622177
76.440563,87,6477.429498
195.505455,450,6506.303429
180.155455,450,6543.340473
172.953354,450,6578.50674
125.863438,450,6610.58828
29.239252,450,6649.779332
139.830281,450,6682.608037
196.190455,450,6714.263956
80.725563,96,6727.755478
59.865455,450,6757.750971
169.325563,256,6779.081471
60.980563,53,6790.249318
22.170281,450,6822.381221
182.300563,301,6848.882082
196.945455,450,6886.806148
197.303354,450,6919.989449
181.913354,450,6958.996741
78.770563,55,6969.055139
-61.749719,450,7010.254592
207.370455,450,7043.438794
195.300563,449,7078.755991
112.375563,142,7092.424655
190.323354,450,7127.812594
60.485563,124,7143.436754
48.200563,107,7156.989854
206.383354,450,7189.275111
104.930455,450,7225.407009
82.880563,93,7237.500266
47.280563,183,7254.873211
194.543354,450,7290.214628
47.995563,114,7301.666956
176.575563,330,7326.096699
202.183354,450,7357.87956
180.800455,450,7390.345269
128.085563,178,7406.8024
102.260563,159,7422.779384
90.880281,450,7453.802223
203.515563,356,7485.858578
191.013354,450,7517.308052
154.960563,303,7540.942317
122.125563,180,7556.263935
200.783354,450,7589.128693
206.383354,450,7622.461225
60.115563,60,7632.452327
80.650563,87,7642.836821
181.835563,360,7668.906829
185.413354,450,7703.253959
192.515563,324,7727.562152
112.900563,165,7744.450551
204.333354,450,7781.896761
205.270455,450,7815.784556
57.405563,72,7825.966509
59.855563,58,7835.512098
40.735281,450,7872.248078
159.643354,450,7904.135102
159.160563,295,7925.922662
203.210563,345,7954.072192
182.200455,450,7991.531518
66.435563,188,8007.111254
195.480455,450,8037.595659
198.703354,450,8072.276565
62.805563,48,8079.788465
221.610563,369,8110.662338
205.970455,450,8148.638392
200.093354,450,8180.612678
33.350281,450,8215.129413
59.890563,61,8224.787979
201.095455,450,8258.302416
190.240563,353,8285.548184
102.825563,144,8301.206568
115.615563,190,8316.425679
104.885563,166,8330.189393
224.535563,384,8362.106727
208.070455,450,8399.942846
197.215563,394,8431.66326
110.180563,183,8448.89818
72.960563,143,8464.63655
58.505563,64,8475.349345
116.965563,156,8488.854167
187.780455,450,8523.975139
-35.411777,450,8559.360306
188.228354,450,8589.944867
113.375563,284,8614.948561
-12.266158,450,8652.42314
91.835563,240,8674.718224
80.480563,69,8685.039644
192.648354,450,8718.602048
104.750563,179,8735.194849
54.025563,84,8743.868275
203.870455,450,8773.524528
156.205563,224,8791.960491
170.865563,274,8815.784143
112.220563,177,8834.098044
88.565563,108,8845.92042
137.240563,265,8868.259182
44.654252,450,8907.521268
63.230563,43,8915.522389
-26.741158,450,8953.981469
200.838354,450,8987.021582
68.855563,46,8996.06539
106.724252,450,9032.291417
149.665563,294,9058.527982
67.115563,60,9068.433428
92.940281,450,9098.482982
93.505563,92,9111.326834
116.745563,160,9129.870268
79.285563,90,9140.847006
197.293354,450,9177.268444
91.835563,168,9193.878376
152.140563,239,9213.911654
165.280563,349,9243.73161
226.635563,400,9275.766448
39.040281,450,9314.299374
144.630281,450,9349.633087
57.615563,68,9359.226637
-34.180748,450,9400.532582
65.950563,87,9410.938335
-43.151158,450,9448.701277
96.460563,135,9463.395637
131.405563,176,9479.231333
87.340563,107,9492.212918
-73.172641,450,9531.466868
184.680563,303,9558.738315
23.098805,450,9591.60134
52.440563,91,9605.765741
129.820563,189,9625.851484
81.380563,65,9635.521795
84.430563,223,9656.16972
